Timestep Total_Energy Temperature
1 99201.41330506891 11.604998742935072 
2 99198.2117032371 11.608911411215 
3 99191.57853044574 11.622372400223238 
4 99181.51228785487 11.643336809127996 
5 99168.01381513786 11.671803068549874 
6 99151.08424649721 11.707769023564042 
7 99130.72501057408 11.751231933883727 
8 99106.93783033377 11.802188474090219 
9 99079.72472292748 11.860634733909434 
10 99049.08799953118 11.926566218534978 
11 99015.03026515964 11.999977848997691 
12 98977.55441845772 12.080863962581674 
13 98936.66365146788 12.16921831328673 
14 98892.3614493736 12.26503407233722 
15 98844.65159021984 12.368303828737258 
16 98793.5381446096 12.479019589872244 
17 98739.02547537698 12.597172782156681 
18 98681.1182372366 12.722754251728174 
19 98619.82137641012 12.855754265187667 
20 98555.14013022848 12.996162510385748 
21 98487.08002671108 13.143968097255046 
22 98415.64688412193 13.299159558688606 
23 98340.84681050187 13.461724851464224 
24 98262.68620317777 13.631651357214624 
25 98181.17174824838 13.808925883443434 
26 98096.31042004694 13.993534664586857 
27 98008.1094805806 14.185463363121043 
28 97916.57647894676 14.384697070714912 
29 97821.7192507261 14.591220309428534 
30 97723.54591735304 14.805017032956842 
31 97622.06488546217 15.026070627918614 
32 97517.2848462131 15.254363915190662 
33 97409.21477459131 15.489879151287123 
34 97297.86392868646 15.732598029783665 
35 97183.24184894837 15.98250168278664 
36 97065.35835741945 16.23957068244695 
37 96944.2235569452 16.503785042518576 
38 96819.84783036163 16.77512421996164 
39 96692.24183966036 17.05356711658986 
40 96561.41652513118 17.33909208076232 
41 96427.38310448208 17.631676909119367 
42 96290.15307193718 17.931298848362538 
43 96149.7381973122 18.237934597078407 
44 96006.15052506779 18.551560307606145 
45 95859.40237334074 18.872151587948718 
46 95709.50633295313 19.19968350372756 
47 95556.47526639953 19.53413058018055 
48 95400.32230681232 19.87546680420316 
49 95241.060856905 20.223665626432652 
50 95078.70458789432 20.578699963375083 
51 94913.26743840004 20.94054219957506 
52 94744.76361332374 21.30916418982798 
53 94573.20758270581 21.684537261434727 
54 94398.61408056122 22.06663221649844 
55 94220.99810369396 22.45541933426344 
56 94040.37491049043 22.850868373495913 
57 93856.76001969138 23.252948574906323 
58 93670.1692091433 23.661628663613275 
59 93480.61851452859 24.076876851648734 
60 93288.12422807512 24.498660840504268 
61 93092.70289724488 24.926947823718354 
62 92894.37132340221 25.361704489504284 
63 92693.14656046186 25.802897023418687 
64 92489.04591351551 26.250491111070332 
65 92282.08693743969 26.70445194086914 
66 92072.28743548223 27.164744206815016 
67 91859.66545782899 27.63133211132648 
68 91644.23930015104 28.10417936810878 
69 91426.02750213156 28.58324920506129 
70 91205.04884597327 29.06850436722397 
71 90981.32235488614 29.559907119762705 
72 90754.86729155571 30.05741925099326 
73 90525.70315659199 30.561002075443653 
74 90293.84968695941 31.070616436954666 
75 90059.32685438695 31.586222711818372 
76 89822.15486376022 32.1077808119543 
77 89582.354151494 32.63525018812312 
78 89339.94538388634 33.168589833177585 
79 89094.94945545393 33.70775828535038 
80 88847.38748724922 34.25271363157886 
81 88597.28082515896 34.803413510866136 
82 88344.65103818454 35.3598151176786 
83 88089.51991670458 35.921875205379244 
84 87831.90947071907 36.48955008969698 
85 87571.84192807646 37.06279565223119 
86 87309.33973268214 37.64156734399172 
87 87044.42554269027 38.225820188973785 
88 86777.12222867766 38.81550878776756 
89 86507.4528718009 39.41058732120224 
90 86235.44076193578 40.011009554024305 
91 85961.1093958006 40.61672883860965 
92 85684.48247506184 41.227698118709434 
93 85405.58390442356 41.843869933229165 
94 85124.43778970095 42.46519642004106 
95 84841.06843587589 43.09162931982902 
96 84555.50034513825 43.72311997996629 
97 84267.75821490948 44.3596193584253 
98 83977.86693585178 45.00107802771948 
99 83685.85158986034 45.647446178876784 
100 83391.73744804047 46.298673625444536 
101 83095.54996866976 46.95470980752552 
102 82797.31479514405 47.61550379584471 
103 82497.05775390923 48.28100429584668 
104 82194.80485237739 48.95115965182307 
105 81890.5822768286 49.62591785107023 
106 81584.41639029812 50.30522652807622 
107 81276.33373044872 50.98903296873731 
108 80966.3610074292 51.677284114603516 
109 80654.52510171846 52.36992656715278 
110 80340.85306195621 53.066906592093645 
111 80025.3721027587 53.76817012369605 
112 79708.10960252219 54.473662769149875 
113 79389.09310121232 55.183329812951115 
114 79068.35029813997 55.89711622131513 
115 78745.90904972453 56.61496664661691 
116 78421.79736724419 57.336825431857754 
117 78096.04341457298 58.06263661515847 
118 77768.67550590583 58.792343934278236 
119 77439.72210347088 59.52589083115935 
120 77109.21181522963 60.26322045649718 
121 76777.17339256525 61.00427567433518 
122 76443.63572795848 61.74899906668457 
123 76108.62785265276 62.497332938168405 
124 75772.1789343065 63.249219320689775 
125 75434.31827463552 64.00459997812364 
126 75095.07530704318 64.76341641103225 
127 74754.47959424011 65.52560986140344 
128 74412.56082585297 66.29112131741202 
129 74069.34881602252 67.05989151820339 
130 73724.87350099161 67.83186095869941 
131 73379.16493668244 68.60696989442619 
132 73032.25329626411 69.38515834636323 
133 72684.16886771013 70.16636610581382 
134 72334.94205134641 70.95053273929649 
135 71984.60335738944 71.73759759345678 
136 71633.1834034755 72.52749979999932 
137 71280.71291218039 73.32017828063996 
138 70927.22270853053 74.11557175207744 
139 70572.74371750513 74.91361873098425 
140 70217.3069615298 75.71425753901661 
141 69860.94355796155 76.51742630784312 
142 69503.68471656626 77.32306298419165 
143 69145.56173698734 78.13110533491432 
144 68786.6060062069 78.94149095207025 
145 68426.84899599961 79.75415725802569 
146 68066.32226037842 80.56904151057122 
